date,property_id,property_name,city,base_price,available_rooms,occupied_rooms,price
2026-01-31,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-02-01,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-02-02,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-02-03,SM001,Urban Nest,Bengaluru,3500,1,1,4000
2026-02-04,SM001,Urban Nest,Bengaluru,3500,1,0,4000
2026-02-05,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-02-06,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-02-07,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-02-08,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-02-09,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-02-10,SM001,Urban Nest,Bengaluru,3500,1,1,4000
2026-02-11,SM001,Urban Nest,Bengaluru,3500,1,0,4000
2026-02-12,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-02-13,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-02-14,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-02-15,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-02-16,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-02-17,SM001,Urban Nest,Bengaluru,3500,1,0,4000
2026-02-18,SM001,Urban Nest,Bengaluru,3500,1,1,4000
2026-02-19,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-02-20,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-02-21,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-02-22,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-02-23,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-02-24,SM001,Urban Nest,Bengaluru,3500,1,0,4000
2026-02-25,SM001,Urban Nest,Bengaluru,3500,1,1,4000
2026-02-26,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-02-27,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-02-28,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-03-01,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-03-02,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-03-03,SM001,Urban Nest,Bengaluru,3500,1,0,4000
2026-03-04,SM001,Urban Nest,Bengaluru,3500,1,1,4000
2026-03-05,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-03-06,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-03-07,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-03-08,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-03-09,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-03-10,SM001,Urban Nest,Bengaluru,3500,1,1,4000
2026-03-11,SM001,Urban Nest,Bengaluru,3500,1,1,4000
2026-03-12,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-03-13,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-03-14,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-03-15,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-03-16,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-03-17,SM001,Urban Nest,Bengaluru,3500,1,1,4000
2026-03-18,SM001,Urban Nest,Bengaluru,3500,1,1,4000
2026-03-19,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-03-20,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-03-21,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-03-22,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-03-23,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-03-24,SM001,Urban Nest,Bengaluru,3500,1,1,4000
2026-03-25,SM001,Urban Nest,Bengaluru,3500,1,1,4000
2026-03-26,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-03-27,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-03-28,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-03-29,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-03-30,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-03-31,SM001,Urban Nest,Bengaluru,3500,1,1,4000
